# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416339616;27610336;236914088;89.56;69668;33751708;207616372;76.08
axle;60;1416339676;25459096;239065328;90.38;69732;35913328;207601304;76.07
axle;60;1416339736;25438244;239086180;90.38;69784;35928900;207601676;76.07
axle;60;1416339796;25416128;239108296;90.39;69836;35949260;207706612;76.11
axle;60;1416339856;25389808;239134616;90.40;69956;35976792;207600284;76.07
axle;60;1416339916;13886376;250638048;94.75;70032;35988132;220402948;80.76
axle;60;1416339976;17992816;246531608;93.20;70100;35994244;215149676;78.84
axle;60;1416340036;21276724;243247700;91.96;70128;35996196;211697284;77.57
axle;60;1416340096;21274268;243250156;91.96;70164;35997776;211697284;77.57
axle;60;1416340156;22742820;241781604;91.40;70192;35999512;210630696;77.18
axle;60;1416340216;21278552;243245872;91.96;70232;36001320;211692396;77.57
axle;60;1416340276;21276844;243247580;91.96;70256;36003072;211692396;77.57
