# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1416341008;0.00;0.00
axle;60;1416341068;0.00;0.00
axle;60;1416341128;0.00;0.00
axle;60;1416341188;0.00;0.00
axle;60;1416341248;0.00;0.00
axle;60;1416341308;0.00;0.00
axle;60;1416341368;0.00;0.00
axle;60;1416341428;0.00;0.00
axle;60;1416341488;0.00;0.00
axle;60;1416341548;0.00;0.00
axle;60;1416341608;0.00;0.00
axle;60;1416341668;0.00;0.00
axle;60;1416341728;0.00;0.00
axle;60;1416341788;0.00;0.00
axle;60;1416341848;0.00;0.00
axle;60;1416341908;0.00;0.00
axle;60;1416341968;0.00;0.00
axle;60;1416342028;0.00;0.00
axle;60;1416342088;0.00;0.00
axle;60;1416342148;0.00;0.00
axle;60;1416342208;0.00;0.00
axle;60;1416342268;0.00;0.00
axle;60;1416342328;0.00;0.00
axle;60;1416342388;0.00;0.00
axle;60;1416342448;0.00;0.00
axle;60;1416342508;0.00;0.00
